symbol,passed,failed,total,last_active
00,0,2,2,"2026-04-17 08:31:01,591"
A8,0,5,5,"2026-04-17 10:35:04,094"
AAVE,0,10,10,"2026-04-17 11:04:34,014"
ABT,0,7,7,"2026-04-17 10:52:35,551"
ACH,0,6,6,"2026-04-17 10:56:48,253"
ACS,0,6,6,"2026-04-17 10:04:17,131"
ACX,0,7,7,"2026-04-17 11:09:52,975"
ADA,8,16,24,"2026-04-17 11:01:41,272"
AERGO,0,8,8,"2026-04-17 10:35:12,348"
AERO,0,11,11,"2026-04-17 10:49:27,821"
AGLD,0,9,9,"2026-04-17 10:54:17,046"
AIOZ,0,9,9,"2026-04-17 11:11:33,678"
AKT,0,8,8,"2026-04-17 11:03:31,110"
ALCX,0,6,6,"2026-04-17 10:05:08,760"
ALEO,0,4,4,"2026-04-17 11:09:33,862"
ALEPH,0,8,8,"2026-04-17 09:55:14,252"
ALGO,0,7,7,"2026-04-17 10:34:58,383"
ALICE,0,8,8,"2026-04-17 09:56:23,552"
ALLO,6,15,21,"2026-04-17 10:35:09,908"
ALT,0,9,9,"2026-04-17 10:36:08,150"
AMP,0,8,8,"2026-04-17 10:34:50,963"
ANKR,0,8,8,"2026-04-17 10:54:00,595"
APE,0,9,9,"2026-04-17 10:00:35,396"
API3,0,9,9,"2026-04-17 10:54:15,751"
APR,0,7,7,"2026-04-17 09:30:54,681"
APT,0,8,8,"2026-04-17 10:50:45,813"
ARB,0,6,6,"2026-04-17 10:03:08,057"
ARKM,0,9,9,"2026-04-17 10:58:08,831"
ARPA,0,8,8,"2026-04-17 09:43:58,760"
ASM,0,7,7,"2026-04-17 11:13:46,606"
AST,0,5,5,"2026-04-17 09:36:05,757"
ASTER,0,11,11,"2026-04-17 10:59:31,464"
ATH,0,10,10,"2026-04-17 10:59:38,167"
ATOM,0,7,7,"2026-04-17 10:53:35,896"
AUCTION,0,9,9,"2026-04-17 10:48:43,480"
AUDIO,0,10,10,"2026-04-17 10:49:23,957"
AURORA,0,4,4,"2026-04-17 08:24:05,629"
AVAX,0,9,9,"2026-04-17 10:54:45,987"
AVNT,0,8,8,"2026-04-17 10:53:51,883"
AVT,0,4,4,"2026-04-17 10:35:44,948"
AWE,0,8,8,"2026-04-17 10:53:05,700"
AXL,0,11,11,"2026-04-17 10:34:33,965"
AXS,0,9,9,"2026-04-17 10:53:48,397"
B3,0,10,10,"2026-04-17 10:50:04,359"
BADGER,0,5,5,"2026-04-17 10:35:39,395"
