symbol,error_count
DOGINME,47
CLANKER,39
ATH,36
BERA,36
FIGHT,35
FAI,35
BARD,34
COW,33
FLOKI,32
DEGEN,31
ETHFI,31
CFG,30
APR,30
EDGE,29
CAKE,29
FUN1,29
EUL,29
MKR-USD,29
EOS-USD,29
RNDR-USD,29
HOME,29
FLOCK,28
COSMOSDYDX,25
COOKIE,25
B3,23
BOBBOB,22
FARTCOIN,22
ALLO,21
ALEO,20
BIO,20
IRYS,20
AWE,20
EIGEN,18
ERA,18
BIRB,14
AVNT,14
ALT,13
IMU,13
ENA,12
WAXL,12
FLUID,10
CORECHAIN,10
DBR,8
HYPER,7
ELSA,7
NEON,7
AST,7
BREV,7
IMX,6
STG,6
ACS,6
APT,6
BLAST,6
BNKR,6
DIMO,5
MAGIC,5
ASTER,5
UNI,5
PAX,5
STX,5
ZRO,4
SUI,4
PRIME,4
ASM,4
SUPER,4
CGLD,4
GTC,4
GST,4
GRT,4
GMT,4
GIGA,4
DNT,4
POL,4
RARE,3
ACX,3
AURORA,3
AXL,3
HYPE,3
COMP,3
INX,3
MASK,2
QI,2
DRIFT,2
BNT,2
HONEY,2
HFT,2
BADGER,1
GST-USD,1
