Symbol,Start Price,Target Price,Forecast Max,Target Met,Target Index,Miss/Surplus (%),Run Time
BTC-USD,86875.03125000,87743.78156250,inf,Yes,h.2,inf,2025-11-23 14:20:11
ETH-USD,2842.42846680,2870.85275146,2974.85036867,Yes,h.8,3.62253401,2025-11-23 14:20:11
VET-USD,0.01306060,0.01319120,0.01370778,Yes,h.8,3.91604694,2025-11-23 14:20:11
SOL-USD,131.44653320,132.76099854,138.25198655,Yes,h.8,4.13599481,2025-11-23 14:20:11
XRP-USD,2.04781079,2.06828890,2.13203221,Yes,h.8,3.08193463,2025-11-23 14:20:11
ADA-USD,0.41516793,0.41931961,0.43673233,Yes,h.8,4.15261363,2025-11-23 14:20:11
DOGE-USD,0.14529487,0.14674782,0.15311795,Yes,h.8,4.34086740,2025-11-23 14:20:11
AVAX-USD,13.34950066,13.48299566,14.04658299,Yes,h.8,4.17998597,2025-11-23 14:20:11
DOT-USD,2.34218669,2.36560856,2.46132383,Yes,h.8,4.04611626,2025-11-23 14:20:11
LINK-USD,12.64331436,12.76974751,13.34191305,Yes,h.8,4.48063316,2025-11-23 14:20:11
LTC-USD,83.74072266,84.57812988,87.03554849,Yes,h.8,2.90550123,2025-11-23 14:20:11
BCH-USD,550.70300293,556.21003296,568.93241255,Yes,h.8,2.28733371,2025-11-23 14:20:11
ATOM-USD,2.53323102,2.55856333,2.64350552,Yes,h.8,3.31991751,2025-11-23 14:20:11
XLM-USD,0.24163349,0.24404982,0.25190053,Yes,h.8,3.21684610,2025-11-23 14:20:11
ETC-USD,13.71035957,13.84746317,14.28928128,Yes,h.8,3.19060687,2025-11-23 14:20:11
FIL-USD,1.65434015,1.67088355,1.73881033,Yes,h.8,4.06532114,2025-11-23 14:20:11
ICP-USD,4.12659836,4.16786434,4.33348545,Yes,h.8,3.97376447,2025-11-23 14:20:11
HBAR-USD,0.14313614,0.14456751,0.15043263,Yes,h.8,4.05701371,2025-11-23 14:20:11
ALGO-USD,0.14027295,0.14167567,0.14783177,Yes,h.8,4.34519932,2025-11-23 14:20:11
