Symbol,Start Price,Target Price,Forecast Max,Target Met,Target Index,Miss/Surplus (%),Run Time,Status
ETH-USD,3209.13037109,3241.22167480,3285.42534274,Yes,h.8,1.36379651,2025-11-14 09:36:08,
VET-USD,0.01590555,0.01606461,0.01618975,Yes,h.8,0.77899175,2025-11-14 09:36:08,
SOL-USD,142.40270996,143.82673706,146.35049197,Yes,h.8,1.75471888,2025-11-14 09:36:08,
XRP-USD,2.32688022,2.35014902,2.32762037,No,h.8,-0.95860507,2025-11-14 09:36:08,
ADA-USD,0.51534492,0.52049837,0.53045253,Yes,h.8,1.91242900,2025-11-14 09:36:08,
DOGE-USD,0.16303901,0.16466940,0.16831874,Yes,h.8,2.21615981,2025-11-14 09:36:08,
AVAX-USD,15.56326580,15.71889846,16.20987647,Yes,h.8,3.12348868,2025-11-14 09:36:08,
DOT-USD,2.87876678,2.90755444,2.93300208,Yes,h.8,0.87522477,2025-11-14 09:36:08,
LINK-USD,14.31724834,14.46042083,14.70714199,Yes,h.8,1.70618246,2025-11-14 09:36:08,
MATIC-USD,,,,,,0.00000000,,No forecast data
LTC-USD,96.87529755,97.84405052,99.69311584,Yes,h.8,1.88980864,2025-11-14 09:36:08,
BCH-USD,496.39108276,501.35499359,502.26206350,Yes,h.8,0.18092368,2025-11-14 09:36:08,
UNI-USD,,,,,,0.00000000,,No forecast data
ATOM-USD,2.88039494,2.90919888,2.90575573,No,h.8,-0.11835417,2025-11-14 09:36:08,
XLM-USD,0.26642320,0.26908743,0.27197686,Yes,h.8,1.07378804,2025-11-14 09:36:08,
ETC-USD,14.96015072,15.10975223,15.13060502,Yes,h.8,0.13800885,2025-11-14 09:36:08,
FIL-USD,1.99898911,2.01897900,2.17157956,Yes,h.8,7.55830345,2025-11-14 09:36:08,
ICP-USD,5.55653286,5.61209819,5.94426974,Yes,h.8,5.91884775,2025-11-14 09:36:08,
HBAR-USD,0.15834753,0.15993101,0.16379854,Yes,h.8,2.41825345,2025-11-14 09:36:08,
ALGO-USD,0.16445895,0.16610353,0.16837734,Yes,h.8,1.36890553,2025-11-14 09:36:08,
