symbol,approved_trades,baseline_return,strategy_return,baseline_sharpe,strategy_sharpe,baseline_max_dd,strategy_max_dd,status,aggregation_date
ASM,783,-31.48,20384.84,-0.5,12.3,-42.46,-0.85,Active,2026-04-04
CGLD,238,-52.91,4400.21,-1.89,17.1,-59.61,-3.23,Active,2026-04-04
GFI,5,-52.25,4796.66,-1.4,11.98,-60.58,-2.95,Active,2026-04-04
ACS,30,-58.24,3880.85,-1.97,11.4,-58.71,-12.28,Active,2026-04-04
COMP,3,-37.21,3079.69,-1.05,10.74,-55.59,-1.07,Active,2026-04-04
ACH,2,-33.95,7257.62,-1.07,17.06,-47.88,0.0,Active,2026-04-04
AERO,4,-52.2,26550.76,-1.33,18.48,-61.25,-0.59,Active,2026-04-04
AKT,352,1.38,13381.81,0.45,15.6,-50.0,-2.93,Active,2026-04-04
MASK,2,-38.57,158.76,-1.25,9.43,-46.05,-2.44,Active,2026-04-04
MINA,288,-48.45,852.46,-1.92,13.9,-51.89,-2.6,Active,2026-04-04
BAT,611,-50.93,20984.98,-1.67,17.68,-67.41,-0.5,Active,2026-04-04
ALCX,368,-51.48,3685.83,-1.0,12.43,-60.29,-3.97,Active,2026-04-04
DNT,736,-49.36,5951.75,-1.61,13.76,-59.3,-9.18,Active,2026-04-04
FOX,612,-49.33,15665.51,-1.32,15.3,-57.68,-3.62,Active,2026-04-04
AST,643,-56.98,12763.99,-3.16,13.9,-65.84,-10.6,Active,2026-04-04
BLAST,59,-51.52,443.59,-1.88,7.09,-51.52,-3.65,Active,2026-04-04
ATOM,1,-31.11,1840.67,-1.26,15.29,-35.64,-0.41,Active,2026-04-04
G,1,-32.9,2277.43,-0.12,7.31,-50.7,-3.56,Active,2026-04-04
GHST,1,-76.78,297.98,-0.95,8.02,-77.62,-6.25,Active,2026-04-04
FORTH,2,-78.45,755.14,-3.36,13.78,-79.21,-4.18,Active,2026-04-04
A8,141,-70.43,55187.87,-0.1,6.64,-88.96,-7.54,Active,2026-04-04
GRT,7,-53.09,1193.34,-2.19,14.55,-53.36,-2.53,Active,2026-04-04
BADGER,14,-36.79,370.4,-1.55,9.29,-42.55,-6.72,Active,2026-04-04
ARB,3,-56.42,6253.02,-2.33,17.61,-58.66,-1.23,Active,2026-04-04
FORT,3,-57.14,1028.95,-1.99,8.59,-51.62,-2.7,Active,2026-04-04
MANA,0,-48.83,1462.23,-1.7,12.75,-50.97,-1.17,No Trades,2026-04-04
CHZ,27,18.49,11733.4,0.84,17.53,-47.98,-0.85,Active,2026-04-04
DIA,0,0.0,0.0,0.0,0.0,0.0,0.0,Error,2026-04-04
KSM,1,-50.06,1580.79,-1.77,15.89,-53.53,-0.44,Active,2026-04-04
CTX,29,-48.73,1465.42,-1.44,7.89,-50.72,-1.87,Active,2026-04-04
GNO,109,-6.39,1223.12,-0.02,13.48,-32.89,0.0,Active,2026-04-04
LOKA,53,-31.81,58.46,-7.48,8.22,-35.19,-10.36,Active,2026-04-04
IOTX,205,-18.06,1959.0,0.6,3.05,-59.55,-12.24,Active,2026-04-04
BLUR,4,-53.9,3684.39,-1.81,12.29,-54.48,-2.32,Active,2026-04-04
METIS,1,-58.34,201.03,-1.64,8.32,-61.91,-5.9,Active,2026-04-04
BAL,15,-77.9,1382.94,-2.81,10.02,-81.69,-2.01,Active,2026-04-04
MDT,1,-34.96,693.18,-0.86,7.59,-50.85,-9.33,Active,2026-04-04
AURORA,93,-53.04,3382.11,-1.44,11.59,-60.65,-7.46,Active,2026-04-04
LRDS,22,-55.6,3086.38,-0.53,9.09,-70.89,-13.05,Active,2026-04-04
KNC,0,-49.06,317.8,-2.39,6.55,-56.07,-2.12,No Trades,2026-04-04
