symbol,error_count
FUN1,69
BOBBOB,67
C2Z,63
C1INCH,49
WAXL,49
COW,49
DEGEN,46
IRYS,45
CLV,44
DNT,44
CORECHAIN,42
BREV,41
C00,40
BIT,40
ELSA,39
BARD,39
AXL,39
ALT,39
HONEY,38
ATH,38
G,38
RONIN,37
FAI,37
FARTCOIN,37
FLOCK,37
COSMOSDYDX,37
XYO,36
EUL,36
CAKE,36
BOBA,36
PAX,35
IMU,34
FIGHT,34
DOLO,33
STG,33
GYEN,33
COOKIE,33
PNG,33
CFG,32
CLANKER,32
ILV,31
NKN,31
DAR,31
VOXEL,31
ENJ,31
EDGE,31
ALLO,30
INX,30
EGLD,30
RARI,30
CBETH,29
RNDR-USD,29
STX,29
MKR-USD,29
EOS-USD,29
OCEAN,28
ROSE,28
PLU,28
A8,28
DOGINME,28
ARB,28
ALEO,28
NCT,28
FLOKI,28
BAL,28
BADGER,28
ERA,28
TRB,28
ALEPH,28
HOME,27
MDT,27
CRV,27
ALGO,27
ETH,27
BIRB,27
GHST,27
ACX,27
PRO,26
FLUID,26
OMNI,26
00,26
XRP,26
ADA,26
APR,26
UNI,26
BNB,25
EOS,25
ENS,25
SWFTC,25
KARRAT,25
STRK,25
SNX,25
LCX,25
COTI,25
LPT,25
CGLD,25
PRIME,24
DYP,24
NMR,24
QI,24
TIME,24
FOX,24
DOGE,24
APE,24
BAND,24
PERP,24
IOTX,24
ZEC,24
FIS,24
SKL,24
CRO,24
C98,24
MLN,24
VARA,23
COMP,23
TNSR,23
ETHFI,23
FIDA,23
CHZ,23
TRU,23
GMT,23
AIOZ,23
GRT,23
BAT,23
ANKR,23
SUI,23
AMP,23
BLAST,23
DEXT,23
KNC,23
ASTER,23
VELO,22
ARPA,22
HYPE,22
AGLD,22
NEON,22
XCN,22
KAVA,22
DIA,22
FLOW,22
FIL,22
BICO,22
EIGEN,22
DESO,22
DBR,22
B3,22
BONK,22
BERA,22
RAD,22
DASH,21
RENDER,21
METIS,21
SOL,21
JTO,21
KRL,21
LINK,21
SHPING,21
LRC,21
LTC,21
MAGIC,21
MINA,21
RARE,21
POND,21
AXS,21
HFT,21
FET,21
ASM,21
GST,21
AWE,21
OGN,20
MATH,20
FORTH,20
AVNT,20
MKR,20
POLS,20
SAND,20
MNDE,20
IDEX,20
HBAR,20
DIMO,20
INJ,20
GTC,20
ACS,19
ENA,19
MASK,19
ELA,19
BIGTIME,19
LSETH,19
UMA,19
ZETA,19
LOKA,19
SPA,19
SUKU,19
NEAR,19
USDT,19
INV,19
GNO,19
MUSE,19
QNT,19
SD,18
SAFE,18
VTHO,18
GIGA,18
CELR,18
ACH,18
AUCTION,18
AERGO,18
LRDS,18
BNKR,18
IMX,18
BNT,18
GUSD,18
BTC,18
FORT,17
SPELL,17
ZRX,17
POWR,17
BCH,17
SHIB,17
SHDW,17
CTSI,17
DOT,17
STORJ,17
T,17
AVT,17
HIGH,17
KSM,17
AKT,17
ALCX,17
ALICE,17
CTX,17
ONDO,17
AST,17
TRAC,17
CVC,17
APT,16
BIO,16
WCFG,16
SEAM,16
AERO,16
XTZ,16
BTRST,16
COVAL,16
LDO,16
GFI,16
FX,16
OSMO,16
MANA,15
AAVE,15
REQ,15
ZEN,15
ABT,15
LQTY,15
ETC,15
BLUR,15
DAI,15
AURORA,14
JASMY,14
ORCA,14
HNT,14
API3,14
GODS,14
OXT,14
GLM,14
FARM,14
DOOD,14
EUROC,14
PUNDIX,14
CVX,13
INDEX,13
HYPER,13
ARKM,13
ATOM,13
RLC,13
SUSHI,13
AVAX,13
AUDIO,12
ZRO,12
YFI,12
DRIFT,12
ERN,12
MSOL,12
SEI,12
SUPER,12
VET,12
PIRATE,11
RPL,11
ICP,10
OP,10
BLZ,10
XLM,9
TIA,9
PYR,9
FLR,8
HOPR,6
POL,6
AST-USD,1
GST-USD,1
